Base de Conhecimento — Kokeshi,,,,,,,,,,,,,
Preencher 1 linha por produto. Agrupar por Collection. Campos com múltiplos valores: separar por quebra de linha (Alt+Enter).,,,,,,,,,,,,,
,,,,,,,,,,,,,
Collection,Produto,SKU / Handle,Categoria,Ingredientes / Ativos,Para quem é,Benefícios,Prova de eficácia,Projeção / Fixação,Aroma / Família olfativa,Modo de uso,Perguntas frequentes (FAQ),Claims / Selos,Observações / Do not say
Geleias (Jelly Cream),Geleia Facial de Niacinamida — 100G,geleia-facial-niacinamida-100g,Hidratante Facial Geleia,"• Niacinamida (Vitamina B3): uniformização do tom, controle da oleosidade, minimiza poros
• Textura jelly cream — leve e de rápida absorção
• Extrato de Arroz: hidratação e luminosidade","• Todos os tipos de pele — especialmente oleosa e com poros dilatados
• Quem busca uniformização e controle da oleosidade
• Uso diário","• Hidratação leve, sem pesar na pele
• Ajuda a uniformizar o tom e iluminar a pele
• Melhora a elasticidade e suaviza linhas
• Poros menos aparentes e controle da oleosidade
• Textura jelly refrescante e de rápida absorção","• 32+ avaliações
• Viral no TikTok

94% pele mais hidratada, luminosa e com melhor textura
91% melhora da aparência geral da pele
84% melhora em manchas, elasticidade e oleosidade
81% pele mais uniforme e linhas suavizadas

*resultado após 30 dias de uso. Estudo realizado com 32 voluntárias em um instituto independente. ",N/A,• Fragrância delicada,"Com a pele limpa e seca, aplique no rosto e massageie até completa absorção. Uso diário.","P: Serve para pele oleosa? R: Sim — niacinamida auxilia no controle da oleosidade.
P: É igual à Geleia de Colágeno? R: Mesma textura, ativo diferente.","• Cruelty free
• Viral no TikTok",Posicionar a dupla Geleia Colágeno + Geleia Niacinamida como a linha Jelly Cream da Kokeshi.
Limpeza Facial,Espuma de Chamego Kokeshi,espuma-de-chamego-kokeshi,Limpeza Facial — Espuma,"• Óleo de Arroz (Oryza Sativa Bran Oil): hidratação
• Óleo de Rosa Mosqueta: antioxidante
• Pantenol: suavizante
• Extrato de Flor de Nelumbo (Lótus): calmante
• Aqua, Sodium Laureth Sulfate, Poliquaternium-7, Glycerin, DMDM Hydantoin, Propylene Glycol","• Todos os tipos de pele
• Primeiro passo da rotina de limpeza
• Adultos","• Limpeza profunda e eficaz
• Textura espumante agradável
• Ajuda a remover impurezas sem agredir a pele
• Deixa a pele pronta para a rotina de cuidados
• Com ativos hidratantes e calmantes","• 206+ avaliações
• Reviews: 'espuma deliciosa', 'pele limpa e macia'",N/A,• Fragrância suave e agradável,"Usar sobre o rosto umedecido com suaves movimentos circulares. Enxaguar completamente.
Usar antes dos demais produtos da rotina.","P: Pode usar todos os dias? R: Sim.
P: Ressseca a pele? R: Não — formulado para limpar sem ressecar.","• Cruelty free
• Com extrato de arroz e rosa mosqueta",Produto que completa o ecossistema de limpeza Kokeshi.
Cheiro de Rica,Body Splash — Cheiro de Rica Floral e Frutado (N.1),cheiro-de-rica-body-splash-200ml,Body Splash / Perfume Corporal,"• Fórmula de rápida absorção
• Vegano e livre de crueldade animal","• Quem ama perfumação floral e frutada
• Uso pós-banho ou ao longo do dia
• Momentos especiais e eventos","• Perfuma a pele com leveza e sofisticação
• Fórmula de rápida absorção
• Ideal para eventos e ocasiões especiais
• Deixa rastro inesquecível","• 137+ avaliações
• Viral no TikTok
• Reviews: 'cheiro maravilhoso', 'muito marcante'",N/A,"• Família floral frutada
• Inspirado no La Vie Est Belle (Lancôme)
• Notas de topo: pera e groselha preta (frutado e fresco)
• Notas de coração: íris e jasmim (floral rico e sofisticado)
• Notas de fundo: baunilha e pralinê (cremoso e intenso)
• O mais sofisticado e marcante da linha","Borrifar sobre a pele após o banho ou sempre que quiser reforçar o frescor. Para fixação prolongada, aplicar nos pontos de maior circulação sanguínea (pulsos e pescoço).","P: Tem boa fixação? R: É um body splash — fixação moderada, ideal para reforçar ao longo do dia.
P: Qual o número mais usado? R: O N.1 é o mais sofisticado e marcante — indicado para eventos.","• Vegano
• Cruelty free
• Viral no TikTok",Crítica recorrente sobre fixação curta — não prometer fixação de perfume. Posicionar como body splash sofisticado para aplicação frequente.
Cheiro de Rica,Body Splash — Cheiro de Rica Floral Fresco e Frutado (N.2),body-splash-cheiro-de-rica-n-2-200ml,Body Splash / Perfume Corporal,"• Fórmula de rápida absorção
• Vegano e livre de crueldade animal","• Quem busca frescor e leveza para o dia a dia
• Uso pós-banho
• Perfeito para o dia a dia","• Perfuma com leveza e frescor
• Fórmula de rápida absorção
• Ideal para o uso diário","• 66+ avaliações
• Lançamento bem recebido",N/A,"• Família floral fresca e frutada
• Frescor delicado de frésia branca
• Toque quente de patchouli
• Ideal para o dia a dia e pós-banho",Borrifar sobre a pele após o banho ou ao longo do dia. Aplicar nos pontos de maior circulação sanguínea para fixação prolongada.,P: Qual a diferença do N.1? R: N.2 é mais fresco e leve — ideal para o dia a dia. N.1 é mais sofisticado para eventos.,"• Vegano
• Cruelty free",N.2 é o mais indicado para uso diário. Três versões disponíveis para diferentes perfis e ocasiões.
Cheiro de Rica,Body Splash — Cheiro de Rica Floral Intenso e Adocicado (N.3),body-splash-cheiro-de-rica-n-3-200ml,Body Splash / Perfume Corporal,"• Fórmula de rápida absorção
• Vegano e livre de crueldade animal","• Quem gosta de fragrâncias doces e românticas
• Uso em momentos especiais e encontros
• Quem ama um aroma envolvente e feminino","• Perfuma com doçura e romantismo
• Fórmula de rápida absorção
• Ideal para momentos especiais","• 51+ avaliações
• Lançamento",N/A,"• Família floral intensa e adocicada
• Inspirado na Delina (Parfums de Marly)
• Notas de topo: lichia e ruibarbo (fresco e doce)
• Notas de coração: rosa turca e peônia (delicado e feminino)
• Notas de fundo: baunilha, almíscar e vetiver (intenso e memorável)
• O mais adocicado e envolvente da linha",Borrifar sobre a pele após o banho. Aplicar nos pontos de maior circulação sanguínea para fixação prolongada.,P: Qual a diferença do N.1 e N.2? R: N.3 é o mais doce e romântico — para noites e momentos especiais.,"• Vegano
• Cruelty free",N.3 é o mais adocicado e intenso da linha — para quem gosta de fragrâncias gourmand-florais.
Cheiro de Rica,Hidratante Corporal Cheiro de Rica 200ml,hidratante-corporal-cheiro-de-rica-200ml,Hidratante Corporal,"• Fórmula vegana com ativos hidratantes
• Textura leve de rápida absorção","• Quem ama o aroma Cheiro de Rica
• Uso após o banho
• Complemento ao body splash","• Hidrata e perfuma o corpo
• Textura leve e rápida absorção
• Deixa a pele macia e perfumada","• Lançamento recente
• 6+ avaliações",N/A,• Fragrância Cheiro de Rica — combina com o body splash,Aplique no corpo após o banho e massageie suavemente até completa absorção.,P: Pode combinar com o body splash? R: Sim — potencializa a perfumação.,"• Vegano
• Cruelty free
• Lançamento",Lançamento recente — completar dados assim que disponíveis. Posicionar junto ao body splash como ritual completo.
Corporal,Creme Hidratante para o Corpo Kokeshi — Toque Aveludado,creme-hidratante-para-o-corpo-kokeshi,Hidratante Corporal,"• Vitamina E: antioxidante, proteção
• Óleo de Rosa Mosqueta: regenerador e nutritivo
• Extrato de Arroz (Oryza Sativa): hidratação e suavização
• Pantenol (Pró-Vitamina B5): hidratante e reparador","• Todos os tipos de pele
• Uso diário após o banho
• Quem sofre de ressecamento","• Alívio para o ressecamento
• Textura leve e rápida absorção
• Para uma pele hidratada, macia e suave
• Ação antioxidante
• ajuda a deixar a aparência rejuvenescida","• 13+ avaliações
• Reviews: 'textura ótima, cheiro agradável', 'pele macia'",N/A,• Fragrância agradável e suave (alguns reviews mencionam cheiro discreto),Aplique no corpo e massageie suavemente até completa absorção. Use diariamente para melhores resultados.,"P: Pode usar no rosto? R: É formulado para o corpo.
P: Pode usar todo dia? R: Sim.","• Cruelty free
• Com extrato de arroz e rosa mosqueta",Alguns reviews indicam perfume discreto — não prometer cheiro intenso.
Mãos & Lábios,Creme Hidratante para as Mãos Kokeshi,creme-hidratante-para-as-maos-kokeshi,Creme para Mãos,• Fórmula com ativos hidratantes e suavizantes,"• Quem tem mãos ressecadas
• Uso diário
• Todos os tipos de pele","• Hidrata e suaviza as mãos
• Textura leve
• Uso prático no dia a dia","• 91+ avaliações
• Ticket baixo — ótimo introdutor de marca",N/A,• Fragrância suave,Aplique nas mãos e massageie até completa absorção. Use quantas vezes precisar ao longo do dia.,"P: Pode usar todo dia? R: Sim, quantas vezes precisar.",• Cruelty free,"Ticket muito acessível (R$14,90) — ótimo produto para primeira compra e entrada na marca."
Mãos & Lábios,Lábios de Fada Hidratante Labial 10g,labios-de-fada-hidratante-labial-incolor-10g,Hidratante Labial,"• Fórmula hidratante para lábios
• Disponível em diferentes cores","• Quem tem lábios ressecados ou descamados
• Uso diário
• Todas as idades","• Hidrata e suaviza os lábios
• Prático para uso no dia a dia","• 103+ avaliações
• Disponível em múltiplas cores",N/A,• Fragrância suave de lábios,Aplique nos lábios quantas vezes precisar ao longo do dia.,"P: Tem cor? R: Sim, disponível em versão incolor e colorida.
P: Pode usar o dia todo? R: Sim.",• Cruelty free,Disponível em múltiplas cores — verificar quais cores estão no catálogo atual.
Proteção Solar,Bastão Multifuncional Kokeshi FPS 60 — 11G,bastao-multifuncional-sunshine-fps-60-11g,Protetor Solar em Bastão,"• FPS 60 — proteção solar de amplo espectro
• Formulado para uso no rosto e área dos olhos","• Todos os tipos de pele
• Rotina de skincare que inclui proteção solar
• Prático para repassar protetor ao longo do dia","• Hidratação
• Proteção solar FPS 60 
• Proteção UVA e UVB
• Com vitamina E 
• Resistente à água e ao suor
• Textura confortável
• Ação antioxidante
• Formato bastão — prático e sem sujeira nas mãos
• Multifuncional — rosto, área dos olhos e lábios
• Fácil de carregar na bolsa","• 19+ avaliações
• Lançamento",N/A,• Fragrância leve,Aplicar diretamente no rosto e nas áreas desejadas. Reaplicar a cada 2 horas em exposição solar.,"P: Pode usar no corpo? R: Formulado principalmente para o rosto.
P: FPS é suficiente? R: FPS 60 oferece alta proteção.","• FPS 60
• Cruelty free
• Lançamento",Lançamento recente — completar com mais dados quando disponíveis. Posicionar como complemento indispensável à rotina de skincare.
Linha Ozônio,Creme Gel Facial Pele Plena Kokeshi,creme-gel-facial-pele-plena-kokeshi,Creme Gel Facial,"• Óleo de Girassol Ozonizado: antioxidante, reparador, regenerador — ação cicatrizante e anti-inflamatória
• Óleo de Rosa Mosqueta (Rosa Canina Fruit Oil): hidratação intensa, ação antienvelhecimento, uniformização","• Todos os tipos de pele
• Quem busca antienvelhecimento, uniformização e glow
• Uso diurno e noturno — rosto, pescoço e colo
• Adultos","• Alto poder hidratante
• Auxilia na melhora da aparência de rugas, linhas e flacidez
• Para uma pele mais macia e iluminada
• Ajuda a uniformizar o tom da pele
• Possui propriedades reparadoras e antioxidantes","• 347+ avaliações — produto bem estabelecido da Linha Ozônio
• Viral no TikTok
• Reviews: 'textura excelente', 'espalha bem', 'resultado após uso contínuo'
• Pertence à Linha Ozônio — 3 cremes com óleo ozonizado",N/A,• Fragrância suave — alguns reviews mencionam ausência de cheiro intenso,"De manhã e à noite, com a pele limpa e seca, aplicar com movimentos ascendentes, massageando todo o rosto, pescoço e colo.","P: Qual a diferença do Gota de Colágeno? R: Gota de Colágeno usa Óleo de Copaíba. Pele Plena usa Óleo de Rosa Mosqueta — foco em antienvelhecimento e uniformização.
P: Pode usar de dia? R: Sim, manhã e noite.
P: É vegano? R: Verificar composição — não confirmado.","• Cruelty free
• Linha Ozônio — óleo de girassol ozonizado
• Viral no TikTok",Terceiro produto da Linha Ozônio (junto com Gota de Colágeno e PH Control). Diferencial vs. Gota de Colágeno: Rosa Mosqueta no lugar de Copaíba — mais indicado para pele madura e manchas.
