slug,nome,vertical,tipo,subcategoria,formato,ativos-principais,objetivo,status,handle-shopify
formula-calmante,Fórmula Calmante | 120ml,skincare,unitario,calmante,120ml,Pinus Pinaster,vermelhidão · pele sensível · resposta inflamatória,ativo,formula-calmante
formula-lumini,Fórmula Lumini (Sabonete Clareador),skincare,unitario,limpeza,[VALIDAR],[VALIDAR INCI],limpeza · clareamento · axila escura,ativo,formula-lumini
antiolheiras-roll-on,Antiolheiras Roll-on - 10ml,skincare,unitario,antiolheiras,10ml,Extrato de Alcaçuz + Óleo de Rosa Mosqueta + Camomila + Calêndula + Vitamina E + Jojoba + Sangue-de-Grado,clareamento de olheiras · drenagem · hidratação ocular,ativo,antiolheiras-roll-on
oleo-rosa-mosqueta,Óleo de Rosa Mosqueta 30ml - 100% Puro,skincare,unitario,oleo,30ml,Rosa Mosqueta 100% puro,regeneração · cicatrização · luminosidade · nutrição,ativo,puro-oleo-de-rosa-mosqueta-30-ml-concentrado
2x-formula-prebiotica,2 Fórmulas Prebióticas (60 dias),suplementacao,pack-multimeses,intestino,2x 200g,,microbiota · digestão,ativo,2-formula-prebiotica
3x-formula-prebiotica,3 Prebióticas - Ritual do Intestino Saudável (90 dias),suplementacao,pack-multimeses,intestino,3x 200g,,microbiota · digestão,ativo,ritual-intestino-saudavel-prebiotica
4x-formula-prebiotica,4 Prebióticas (120 dias),suplementacao,pack-multimeses,intestino,4x 200g,,microbiota · digestão,ativo,4-prebioticas-mixer
2x-formula-4mag,2x Fórmulas 4Mag - 60 dias,suplementacao,pack-multimeses,energia-relaxamento,2x 30 dias,,energia · relaxamento,ativo,2x-formulas-4mag-magnesio-60-dias
3x-formula-4mag,3x Fórmulas 4Mag - 90 dias,suplementacao,pack-multimeses,energia-relaxamento,3x 30 dias,,energia · relaxamento,ativo,3x-formulas-4mag-transformacao-em-90-dias
2x-formula-nac,2x Fórmula NAC - 60 dias,suplementacao,pack-multimeses,antioxidante-detox,2x 30 dias,,antioxidação · detox,ativo,2x-formula-nac-60-dias
3x-formula-nac,3x Fórmula NAC - 90 dias,suplementacao,pack-multimeses,antioxidante-detox,3x 30 dias,,antioxidação · detox,ativo,3x-formula-nac-60-dias-transformacao-em-90-dias
2x-picolinato-booster,2x Picolinato Booster - 60 dias,suplementacao,pack-multimeses,energia-metabolismo,2x 30 dias,,metabolismo · foco · disposição,ativo,2x-picolinato-booster-60-dias
3x-picolinato-booster,3x Picolinato Booster - 90 dias,suplementacao,pack-multimeses,energia-metabolismo,3x 30 dias,,metabolismo · foco · disposição,ativo,3x-picolinato-booster-90-dias
2x-formula-complexo-b,2x Fórmula Complexo B - 60 dias,suplementacao,pack-multimeses,energia-metabolismo,2x 60 dias,,energia · metabolismo,ativo,2x-formula-complexo-b-60-dias-60-capsulas-copia
3x-formula-complexo-b,3x Fórmula Complexo B - 60 dias,suplementacao,pack-multimeses,energia-metabolismo,3x 60 dias,,energia · metabolismo,ativo,3x-formula-complexo-b-60-dias-60-capsulas
2x-formula-coenzima-q10,2x Fórmulas Coenzima Q10 - 60 dias,suplementacao,pack-multimeses,energia-relaxamento,2x 30 dias,,energia · disposição,ativo,2x-formulas-coenzima-q10-60-dias
3x-formula-coenzima-q10,3x Fórmulas Coenzima Q10 - 90 dias,suplementacao,pack-multimeses,energia-relaxamento,3x 30 dias,,energia · disposição,ativo,3x-formulas-coenzima-q10-transformacao-em-90-dias
2x-formula-femme-nutri,2x Fórmulas Femme Nutri - 60 dias,suplementacao,pack-multimeses,saude-da-mulher,2x 30 dias,,cuidado feminino,ativo,2x-formulas-femme-nutri-60-dias
3x-formula-femme-nutri,3x Fórmulas Femme Nutri - 90 dias,suplementacao,pack-multimeses,saude-da-mulher,3x 30 dias,,cuidado feminino,ativo,3x-formulas-femme-nutri-90-dias
2x-formula-mov-nutri,2x Fórmulas Mov Nutri - 60 dias,suplementacao,pack-multimeses,mobilidade-articular,2x 30 dias,,mobilidade · articulações,ativo,2x-formulas-mov-nutri-90-dias-180-capsulas
3x-formula-mov-nutri,3x Fórmulas Mov Nutri - 90 dias,suplementacao,pack-multimeses,mobilidade-articular,3x 30 dias,,mobilidade · articulações,ativo,3x-formulas-mov-nutri-90-dias-180-capsulas
2x-formula-antioxi-nutri,2x Fórmula Antioxi Nutri - 60 dias,suplementacao,pack-multimeses,pele-beleza-oral,2x 30 cáps,,manchas · melasma · proteção solar,ativo,2-formula-antioxi-nutri
3x-formula-antioxi-nutri,3x Fórmula Antioxi Nutri - 90 dias,suplementacao,pack-multimeses,pele-beleza-oral,3x 30 cáps,,manchas · melasma · proteção solar,ativo,3x-formulas-antioxi-nutri
2x-formula-fabulosa,2 Fórmulas Fabulosas para Cabelo Pele e Unha,suplementacao,pack-multimeses,pele-beleza-oral,2x 30 dias,,cabelo · pele · unhas,ativo,2-formulas-fabulosas-para-cabelo-pele-e-unha
3x-formula-fabulosa,3 Fórmulas Fabulosas para Cabelo Pele e Unha,suplementacao,pack-multimeses,pele-beleza-oral,3x 30 dias,,cabelo · pele · unhas,ativo,3-formulas-fabulosas
3x-formula-imunidade,3x Fórmulas da Imunidade (Compre 2 Leve 3),suplementacao,pack-multimeses,imunidade,3x 150g,,imunidade,ativo,compre-2-e-leve-3-formulas-da-imunidade
2x-formula-uniformizadora,2x Fórmulas Uniformizadoras,skincare,pack-multimeses,manchas,2x 35g,,manchas · melasma,ativo,2x-formulas-uniformizadoras
2-prebioticas-2-imunidades,2 Prebióticas + 2 Imunidades - Shot dos Milagres em Dobro,suplementacao,pack-multimeses,imunidade-intestino,2x 200g + 2x 150g,,imunidade · microbiota,ativo,2x-ritual-da-imunidade-e-saude-intestinal-prebiotica-imunidade
trio-de-queridinhos,Trio de Queridinhos (4Mag + NAC + Picolinato Boost),suplementacao,kit-curado,energia,,4Mag + NAC + Picolinato Booster,energia · detox · foco · metabolismo,ativo,4-mag-nac-picolinato-boost
trio-essencial,Trio Essencial (4Mag + Prebiótica + NAC),suplementacao,kit-curado,wellness-integrado,,4Mag + Prebiótica + NAC,energia · intestino · detox · bem-estar completo,ativo,trio-essencial
ritual-da-imunidade,Ritual da Imunidade e Saúde Intestinal (Shot dos Milagres),suplementacao,ritual,imunidade-intestino,,Imuno Shot + Fórmula Prebiótica,imunidade · saúde intestinal,ativo,ritual-da-imunidade
kit-equilibrio-hormonal-tpm,Kit do Equilíbrio Hormonal & TPM,suplementacao,kit-curado,saude-da-mulher,,Fórmula Femme Nutri + Antioxi Nutri,equilíbrio hormonal · TPM,ativo,formula-femme-antioxi-nutri-30-dias-equilibrio-hormonal-tpm
formula-femme-4mag,Fórmula Femme + 4Mag (Bem-estar e Relaxamento),suplementacao,kit-curado,saude-da-mulher,,Fórmula Femme Nutri + 4Mag,bem-estar feminino · relaxamento · energia,ativo,formula-femme-4mag
formula-femme-prebiotica,Fórmula Femme + Prebiótica 30 dias,suplementacao,kit-curado,saude-da-mulher,,Fórmula Femme Nutri + Fórmula Prebiótica,saúde da mulher · intestino,ativo,formula-femme-prebiotica
formula-femme-q10,Fórmula Femme + Q10 (Energia e disposição),suplementacao,kit-curado,saude-da-mulher,,Fórmula Femme Nutri + Coenzima Q10,energia feminina · disposição,ativo,formula-femme-q10-energia-e-disposicao
combo-de-milhoes,Combo de Milhões - Cápsulas da Beleza,suplementacao,kit-curado,beleza,,Fórmula Fabulosa + Antioxi Nutri,beleza de dentro · pele · cabelo · unhas,ativo,combo-fabulosa-antioxinutri
combo-intestinal,Combo Intestinal,suplementacao,kit-curado,intestino,,Fórmula Prebiótica + Imuno Shot,saúde intestinal,ativo,combo-intestinal
combo-antioxidante-nac,Combo Antioxidante (NAC + Antioxidante Tópico),suplementacao,kit-curado,detox,,NAC + Fórmula Antioxidante,antioxidação sistêmica e tópica,ativo,combo-antioxidante-nac-antioxidante
ritual-detox,Ritual Detox (NAC + Antioxi Nutri),suplementacao,ritual,detox,,NAC + Antioxi Nutri,detox · proteção solar oral,ativo,ritual-detox
ritual-olhar-descansado,Ritual Olhar Descansado (Antiolheiras + 4Mag),skincare,ritual,antiolheiras,,Antiolheiras Roll-on + 4Mag,olheiras · sono · relaxamento,ativo,ritual-olhar-descansado-antiolheiras-4mag-60-capsulas
ritual-do-clareamento,Ritual do Clareamento (Lumini + Uniformizadora),skincare,ritual,manchas-melasma,,Fórmula Lumini + Fórmula Uniformizadora,clareamento facial,ativo,ritual-do-clareamento-lumini-uniformizadora-2
ritual-pele-blindada,Ritual Pele Blindada - 30 dias,skincare,ritual,antioxidante,,Antioxi Nutri + Fórmula Antioxidante,proteção solar sistêmica + tópica,ativo,ritual-pele-blindada
ritual-beleza-com-forca,Ritual Beleza com Força,skincare,ritual,beleza,,Fórmula Fabulosa + Fórmula Renovadora,beleza integral,ativo,ritual-beleza-com-forca
ritual-manchas-melasma-essencial,Ritual Essencial para Manchas e Melasma,skincare,ritual,manchas-melasma,,Fórmula Uniformizadora + Antioxi Nutri,manchas · melasma,ativo,ritual-1x
ritual-manchas-linhas-finas,Ritual Essencial para Manchas e Linhas Finas,skincare,ritual,manchas-melasma,,Fórmula Uniformizadora + Fórmula Renovadora,manchas · antissinais,ativo,ritual-essencial-para-manchas-e-linhas-finas-uniformizadora-renovadora
ritual-intermediario-manchas,Ritual Intermediário para Manchas e Melasma,skincare,ritual,manchas-melasma,,Fórmula Uniformizadora + Antioxi Nutri + Fórmula Antioxidante,manchas · melasma · tratamento avançado,ativo,ritual-avancado
ritual-completao-manchas,Ritual Completão para Manchas com Prebiótica,skincare,ritual,manchas-melasma,,Fórmula Uniformizadora + Antioxi Nutri + Fórmula Prebiótica,manchas · melasma · intestino · completo,ativo,ritual-completao-prebiotica
ritual-manchas-prebiotica,Ritual Essencial para Manchas com Prebiótica,skincare,ritual,manchas-melasma,,Fórmula Uniformizadora + Antioxi Nutri + Fórmula Prebiótica,manchas · microbiota,ativo,ritual-essencial-prebiotica
ritual-manchas-imunidade,Ritual Essencial para Manchas com Imunidade,skincare,ritual,manchas-melasma,,Fórmula Uniformizadora + Antioxi Nutri + Imuno Shot,manchas · imunidade,ativo,ritual-essencial-para-manchas-com-imunidade-copia
ritual-manchas-verao,Ritual Essencial para Manchas no Calor,skincare,ritual,manchas-melasma,,Fórmula Uniformizadora + Antioxi Nutri + The Golden Stick,manchas · proteção solar · verão,ativo,essencial-verao
ritual-anti-idade,Ritual Essencial Fabuloso Anti-Idade,skincare,ritual,anti-idade,,Fórmula Fabulosa + Fórmula Renovadora,antissinais · cabelo · pele · unhas,ativo,ritual-essencial-fabuloso-anti-idade-renovadora
ritual-manchas-noite-dia,Ritual para Manchas Noite e Dia,skincare,ritual,manchas-melasma,,Fórmula Uniformizadora + Fórmula Antioxidante,manchas · uniformização,ativo,ritual-antioxidante-uniformizador
ritual-clareza-mental,Ritual para Clareza Mental (Neuro Ômega + 4Mag),suplementacao,ritual,foco,,Fórmula Neuro Ômega 3 + 4Mag,foco · cognição · energia,ativo,clareza-mental-dha-magnesio
ritual-imunidade-reforcada,Ritual para Imunidade Reforçada (Vitamina D3 + Imuno Shot),suplementacao,ritual,imunidade,,Vitamina D3 + Imuno Shot,imunidade reforçada,ativo,ritual-para-imunidade-reforcada-vitamina-d3-formula-da-imunidade
ritual-lipedema-circulacao,Ritual para Lipedema e Circulação (Cardio Ômega 3 + Antioxi Nutri),suplementacao,ritual,circulacao,,Fórmula Cardio Ômega 3 + Antioxi Nutri,circulação · lipedema · cardiovascular,ativo,ritual-para-lipedema-circulacao-cardio-omega-3-antioxi-nutri-30-capsulas
ritual-bem-estar-completo,Ritual do Bem-Estar Completo,suplementacao,ritual,wellness-integrado,,4Mag + Fórmula Prebiótica + Imuno Shot,bem-estar integral,ativo,ritual-do-bem-estar-completo
ritual-desperta-desacelera,Ritual Desperta & Desacelera,suplementacao,ritual,energia,,Picolinato Booster + 4Mag,energia manhã · relaxamento noite,ativo,ritual-desperta-desacelera
ritual-projeto-verao,Ritual Projeto Verão,suplementacao,ritual,wellness-integrado,,Antioxi Nutri + Fórmula Prebiótica + The Golden Stick,bem-estar · verão,ativo,ritual-projeto-verao
desinflamacao-dose-dupla,Desinflamação em Dose Dupla (Antioxi Nutri + Imunidade),suplementacao,kit-curado,imunidade,,Antioxi Nutri + Imuno Shot,resposta inflamatória · imunidade,ativo,desinflamacao-em-dose-dupla-antioxinutri-imunidade
1-antioxinutri-1-uniformizadora,Antioxi Nutri 30 cáps + Uniformizadora,skincare,kit-curado,manchas-melasma,,Antioxi Nutri (30 cáps) + Fórmula Uniformizadora,manchas · proteção solar oral,ativo,1-antioxinutri-1-uniformizadora
antioxi-uniformizadora-hidratante,Antioxi Nutri 90 cps + Uniformizadora + Hidratante,skincare,kit-curado,manchas-melasma,,Antioxi Nutri (90 cáps) + Fórmula Uniformizadora + Hidratante Preenchedora,manchas · hidratação · proteção,ativo,antioxi-uniformizadora-hidratante
antioxi-90-antioxidante-topico,Antioxi Nutri 90 cps + Antioxidante Tópico,skincare,kit-curado,antioxidante,,Antioxi Nutri (90 cáps) + Fórmula Antioxidante,antioxidação sistêmica + tópica,ativo,antioxi-nutri-90-capsulas-antioxidante-topica-com-vitamina-c
antioxi-30-antioxidante-topico,Antioxi Nutri 30 cps + Antioxidante Tópico,skincare,kit-curado,antioxidante,,Antioxi Nutri (30 cáps) + Fórmula Antioxidante,antioxidação sistêmica + tópica,ativo,antioxi-nutri-30-cps-antioxidante-topico-com-vitamina-c
prebiotica-antioxi-nutri-30,Fórmula Prebiótica + Antioxi Nutri 30 cáps,suplementacao,kit-curado,intestino,,Fórmula Prebiótica + Antioxi Nutri (30 cáps),intestino · pele · manchas,ativo,formula-prebiotica-antioxi-nutri
prebiotica-antioxi-nutri-90,Fórmula Prebiótica + Antioxi Nutri 90 cáps,suplementacao,kit-curado,intestino,,Fórmula Prebiótica + Antioxi Nutri (90 cáps),intestino · pele · manchas (tratamento longo),ativo,formula-prebiotica-antioxi-nutri-90-capsulas
kit-4mag-uniformizadora,Kit 4Mag + Fórmula Uniformizadora,skincare,kit-curado,manchas-melasma,,4Mag + Fórmula Uniformizadora,manchas · energia · relaxamento,ativo,kit-4mag-formula-uniformizadora
kit-nac-uniformizadora,Kit NAC + Fórmula Uniformizadora,skincare,kit-curado,manchas-melasma,,NAC + Fórmula Uniformizadora,manchas · detox,ativo,kit-nac-formula-uniformizadora
kit-nac-limpeza-gentil,Kit NAC + Limpeza Gentil,suplementacao,kit-curado,detox,,NAC + Fórmula da Limpeza Gentil,detox · limpeza,ativo,kit-nac-limpeza-gentil
the-golden-stick-antioxi,The Golden Stick + Antioxi Nutri 30 cáps,skincare,kit-curado,protecao-solar,,The Golden Stick + Antioxi Nutri (30 cáps),proteção solar mineral + oral,ativo,the-golden-stick-antioxi
mixer-rituaria,Mixer Rituária,acessorio,acessorio,—,,,misturar fórmulas em pó,ativo,mixer-rituaria
bone-here-comes-the-sun,Boné Edição Especial "Here Comes the Sun",acessorio,acessorio,—,,,acessório de marca,ativo,bone-edicao-especial-here-comes-the-sun-1
femme-protein,Femme Protein - Colágeno Body Balance + Verisol - Abacaxi com Hortelã,suplementacao,waitlist,saude-da-mulher,,Colágeno Verisol + Body Balance,proteína funcional feminina · colágeno,waitlist,femme-protein-colageno-body-balance-verisol-abacaxi-com-hortela
greens-superfood-mate-limao,Greens & Superfood - Mate com Limão,suplementacao,waitlist,wellness-integrado,,[VALIDAR INCI],superfoods · energia · detox verde,waitlist,greens-superfood-matte-com-limao
greens-superfood-abacaxi-hortela,Greens & Superfood - Abacaxi com Hortelã,suplementacao,waitlist,wellness-integrado,,[VALIDAR INCI],superfoods · energia · detox verde,waitlist,greens-superfood-abacaxi-com-hortela
greens-superfood-maca-limao,Greens & Superfood - Maçã Verde com Limão,suplementacao,waitlist,wellness-integrado,,[VALIDAR INCI],superfoods · energia · detox verde,waitlist,greens-superfood-maca-verde-com-limao
