handle,titulo,categoria,subcategoria,volume,status,descricao_curta
roll-on-oleos-essencias-refrescante,Roll On Refrescante 10ml,Roll-Ons,Roll-Ons,10ml,ativo,"Hortelã + Eucalipto + Lavanda + Jojoba — frescor imediato"
roll-on-oleos-essencias-relaxante,Roll On Relaxante 10ml,Roll-Ons,Roll-Ons,10ml,ativo,"Lavanda + Cedro + Manjerona + Jojoba — calma e tensão"
roll-on-sensual-10ml,Roll On Sensual 10ml,Roll-Ons,Roll-Ons,10ml,ativo,Blend sensual — autoestima
roll-on-zen-10ml,Roll On Zen 10ml,Roll-Ons,Roll-Ons,10ml,ativo,Sândalo + Petitgrain — meditação portátil
room-spray-bem-estar,Room Spray Bem Estar 120ml,Room Sprays,Room Sprays,120ml,ativo,"Lemongrass + Lavanda + Laranja — equilíbrio no ambiente"
room-spray-mulher-120ml,Room Spray Mulher 120ml,Room Sprays,Room Sprays,120ml,ativo,Gerânio + Patchouli — espaço feminino
room-spray-refrescante-120ml,Room Spray Refrescante 120ml,Room Sprays,Room Sprays,120ml,ativo,Hortelã + Laranja + Lemongrass — ambiente fresco
room-spray-relaxante-120-ml,Room Spray Relaxante 120ml,Room Sprays,Room Sprays,120ml,ativo,"Lavanda + Patchouli + Lemongrass — calma o ambiente"
room-spray-zen-120ml,Room Spray Zen 120ml,Room Sprays,Room Sprays,120ml,ativo,Sândalo + Petitgrain — ambiente meditativo
agua-termal-bruma-mulher-120ml,Água Termal Bruma Mulher 120ml,Room Sprays,Águas Termais,120ml,ativo,Bruma facial e corporal linha Mulher
agua-termal-bruma-refrescante-120ml,Água Termal Bruma Refrescante 120ml,Room Sprays,Águas Termais,120ml,ativo,Bruma refrescante para rosto e corpo
agua-termal-bruma-relaxante-120ml,Água Termal Bruma Relaxante 120ml,Room Sprays,Águas Termais,120ml,ativo,Bruma relaxante para rosto e corpo
oleo-para-banho-e-massagem-energizante-110ml,Óleo para Banho e Massagem Energizante 110ml,Cosméticos,Banho e Massagem,110ml,ativo,Óleo energizante para banho e massagem
oleo-para-banho-e-massagem-relaxante-110ml,Óleo para Banho e Massagem Relaxante 110ml,Cosméticos,Banho e Massagem,110ml,ativo,Óleo relaxante para banho e massagem
oleo-vegetal-de-abacate-30-ml,Óleo Vegetal de Abacate 30ml,Óleos Vegetais,Óleos Base,30ml,ativo,Persea gratissima — nutritivo e hidratante
oleo-vegetal-de-abacate-1lt,Óleo Vegetal de Abacate 1L,Óleos Vegetais,Óleos Base,1000ml,ativo,Persea gratissima — profissional/atacado
oleo-vegetal-de-acai-30-ml,Óleo Vegetal de Açaí 30ml,Óleos Vegetais,Óleos Base,30ml,ativo,Euterpe oleracea — antioxidante nacional
oleo-vegetal-de-amendoa-doce-100ml,Óleo Vegetal de Amêndoa Doce 100ml,Óleos Vegetais,Óleos Base,100ml,ativo,Prunus amygdalus dulcis — hidratação suave
oleo-vegetal-de-copaiba-30-ml,Óleo Vegetal de Copaíba 30ml,Óleos Vegetais,Óleos Base,30ml,ativo,Copaifera spp. — brasileiro e calmante
oleo-vegetal-de-gergelim-100ml,Óleo Vegetal de Gergelim 100ml,Óleos Vegetais,Óleos Base,100ml,ativo,Sesamum indicum — nutritivo e protetor
oleo-vegetal-de-girassol-100-ml,Óleo Vegetal de Girassol 100ml,Óleos Vegetais,Óleos Base,100ml,ativo,Helianthus annuus — leve e hidratante
oleo-vegetal-de-girassol-1lt,Óleo Vegetal de Girassol 1L,Óleos Vegetais,Óleos Base,1000ml,ativo,Helianthus annuus — profissional/atacado
oleo-vegetal-de-jojoba-30-ml,Óleo Vegetal de Jojoba 30ml,Óleos Vegetais,Óleos Base,30ml,ativo,Simmondsia chinensis — equilíbrio sebáceo
oleo-vegetal-de-rosa-mosqueta-30-ml,Óleo Vegetal de Rosa Mosqueta 30ml,Óleos Vegetais,Óleos Base,30ml,ativo,Rosa rubiginosa — nutrição e anti-idade
oleo-vegetal-de-semente-de-uva-100ml,Óleo Vegetal de Semente de Uva 100ml,Óleos Vegetais,Óleos Base,100ml,ativo,Vitis vinifera — antioxidante e leve
oleo-vegetal-de-semente-de-uva-1lt-nacional,Óleo Vegetal de Semente de Uva 1L,Óleos Vegetais,Óleos Base,1000ml,ativo,Vitis vinifera — profissional/atacado
argila-complex-acalma-clareadora-branca,Argila Branca Complex Acalma 200g,Spa Basics,Facial,200g,ativo,Argila branca + dolomita + lavanda — calmante e clareadora
argila-verde-complex-detox-oleosidade,Argila Verde Complex Detox 200g,Spa Basics,Facial,200g,ativo,Argila verde pura — purifica e controla oleosidade
argila-complex-revitaliza-200g,Argila Complex Revitaliza 200g,Spa Basics,Facial,200g,ativo,Argila rosa + açaí + hibisco — anti-envelhecimento
espuma-de-limpeza-facial,Espuma de Limpeza Facial Spa Basics 150ml,Spa Basics,Facial,150ml,ativo,Aloe vera + lavanda + calêndula + tea tree — limpeza suave
gel-esfoliante-facial-100g,Gel Esfoliante Facial Spa Basics 100g,Spa Basics,Facial,100g,ativo,Esfoliante suave para renovação celular
locao-tonica-facial-150ml,Loção Tônica Facial Spa Basics 150ml,Spa Basics,Facial,150ml,ativo,Ylang ylang + lavanda — tônico equilibrante
serum-facial-revitalizante-rosas-e-acai-15ml,Sérum Facial Revitalizante Spa Basics 15ml,Spa Basics,Facial,15ml,ativo,Óleos de rosas + camomila + olíbano — rejuvenescimento
serum-facial-secativo-equilibrador,Sérum Facial Secativo Equilibrador Spa Basics 30g,Spa Basics,Facial,30g,ativo,Melaleuca + copaíba + gerânio — pele oleosa
serum-facial-skin-boost-30g,Sérum Facial Skin Boost 30g,Spa Basics,Facial,30g,ativo,Sérum premium multi-ação
kit-spa-basics-facial-pele-oleosa-e-secativa,Kit Spa Basics Facial Pele Oleosa,Spa Basics,Kits,630g,ativo,Kit completo para pele oleosa e acneica
gel-aloe-vera-neutro-250g,Gel Aloe Vera Neutro 250g,Spa Basics,Corporal,250g,ativo,Aloe vera puro — hidratação e base carreadora
creme-esfoliante-neutro-apricot-250g,Creme Esfoliante Neutro Apricot 250g,Spa Basics,Corporal,250g,ativo,Semente de apricot — esfoliação suave
creme-neutro-semente-de-uva-250g,Creme Neutro Semente de Uva 250g,Spa Basics,Corporal,250g,ativo,Base neutra enriquecida com semente de uva
creme-slim-emagrecedor,Creme de Massagem Slim Spa Basics 100g,Spa Basics,Corporal,100g,ativo,Café verde + semente de uva — drenagem e firmeza
creme-de-massagem-neutro-1kg,Creme de Massagem Neutro 1kg,Spa Basics,Corporal,1000g,ativo,Base neutra profissional para massagem
sinergia-slim-15ml,Ativo Slim Detox Spa Basics 15ml,Spa Basics,Corporal,15ml,ativo,7 óleos essenciais — sinergia para leveza e drenagem
locao-hidratante-mulher-110ml,Loção Hidratante Mulher 110ml,Spa Basics,Corporal,110ml,ativo,Linha Mulher — hidratação com fragrância floral
locao-hidratante-relaxante-110ml,Loção Hidratante Relaxante 110ml,Spa Basics,Corporal,110ml,ativo,Linha Relaxante — hidratação com óleos calmantes
agua-capilar-multifuncional-spa-basics-150ml,Água Capilar Multifuncional Spa Basics 150ml,Spa Basics,Capilar,150ml,ativo,Alga marinha + óleo de coco — força e brilho
oleo-capilar-nutritivo-e-reparador-30ml,Óleo Capilar Nutritivo e Reparador 30ml,Spa Basics,Capilar,30ml,ativo,Óleo capilar nutritivo e reparador
anex-anestesico-natural-podologia,Anex Emoliente Natural Spa Basics 15ml,Spa Basics,Pés e Mãos,15ml,ativo,8 óleos essenciais — fortalece e hidrata unhas
esfoliante-renovador-para-os-pes-70g,Esfoliante Renovador para os Pés 70g,Spa Basics,Pés e Mãos,70g,ativo,Tea tree + hortelã — remove células mortas
feet-manteiga-para-os-pes-70g,Manteiga Hidratante para os Pés Spa Basics 70g,Spa Basics,Pés e Mãos,70g,ativo,Karité + coco + aloe vera — hidratação intensa
sabonete-em-barra-vegetal-bem-estar-100g,Sabonete em Barra Vegetal Bem Estar 100g,Sabonetes,Sabonetes,100g,ativo,Sabonete vegetal linha Bem Estar
sabonete-em-barra-vegetal-mulher-100g,Sabonete em Barra Vegetal Mulher 100g,Sabonetes,Sabonetes,100g,ativo,Sabonete vegetal linha Mulher
sabonete-em-barra-vegetal-relaxante-100g,Sabonete em Barra Vegetal Relaxante 100g,Sabonetes,Sabonetes,100g,ativo,Sabonete vegetal linha Relaxante
sabonete-esfoliante-refrescante-100g,Sabonete Esfoliante Refrescante 100g,Sabonetes,Sabonetes,100g,ativo,Sabonete esfoliante linha Refrescante
sabonete-liquido-mulher-100g,Sabonete Líquido Mulher 100g,Sabonetes,Sabonetes,100g,ativo,Sabonete líquido linha Mulher
sabonete-liquido-relaxante-100g,Sabonete Líquido Relaxante 100g,Sabonetes,Sabonetes,100g,ativo,Sabonete líquido linha Relaxante
sabonete-espuma-deep-calm,Sabonete Espuma Deep Calm,Sabonetes,Sabonetes Espuma,esgotado,esgotado,Espuma de limpeza Deep Calm
sabonete-espuma-fresh-energy,Sabonete Espuma Fresh Energy,Sabonetes,Sabonetes Espuma,esgotado,esgotado,Espuma de limpeza Fresh Energy
sabonete-espuma-pure-balance,Sabonete Espuma Pure Balance,Sabonetes,Sabonetes Espuma,esgotado,esgotado,Espuma de limpeza Pure Balance
sabonete-espuma-stress-free,Sabonete Espuma Stress Free,Sabonetes,Sabonetes Espuma,esgotado,esgotado,Espuma de limpeza Stress Free
kit-trilogia-essencial,Kit Trilogia Essencial,Kits,Kits,,ativo,"Lavanda + Alecrim + Laranja — para quem quer começar"
kit-3-oleos-essenciais-trio-basico-by-samia,Kit 3 Óleos Essenciais Trio Básico,Kits,Kits,,ativo,Trio básico para iniciantes
kit-alegria-e-bem-estar,Kit Alegria e Bem-estar,Kits,Kits,,ativo,Kit completo bem-estar e alegria
kit-casa-viva,Kit Casa Viva,Kits,Kits,,ativo,Kit para aromatização de ambientes
kit-corpo-mente,Kit Corpo & Mente,Kits,Kits,,ativo,Equilíbrio corpo e mente
kit-corpo-leve,Kit Corpo Leve,Kits,Kits,,ativo,Leveza e vitalidade para o corpo
kit-energia-foco,Kit Energia & Foco,Kits,Kits,,ativo,Energia e concentração
kit-equilibrio-total,Kit Equilíbrio Total,Kits,Kits,,ativo,Equilíbrio total do bem-estar
kit-harmonia-interior,Kit Harmonia Interior,Kits,Kits,,ativo,Harmonia e equilíbrio interno
kit-icones-essenciais,Kit Ícones Essenciais,Kits,Kits,,ativo,Os óleos ícones da marca
kit-mente-ativa,Kit Mente Ativa,Kits,Kits,,ativo,Foco e clareza mental
kit-noite-perfeita,Kit Noite Perfeita,Kits,Kits,,ativo,Rotina noturna completa
kit-noite-serena,Kit Noite Serena,Kits,Kits,,ativo,Noite serena e sono tranquilo
kit-performance-botanica-premium,Kit Performance Botânica Premium,Kits,Kits,,ativo,Kit premium performance
kit-primeira-experiencia,Kit Primeira Experiência,Kits,Kits,,ativo,Para quem experimenta aromaterapia pela primeira vez
kit-protecao-natural,Kit Proteção Natural,Kits,Kits,,ativo,Proteção natural com óleos essenciais
kit-purificacao-absoluta,Kit Purificação Absoluta,Kits,Kits,,,Purificação e limpeza natural
kit-respira,Kit Respira+,Kits,Kits,ativo,,Respiração e vias aéreas
kit-rotina-equilibrada,Kit Rotina Equilibrada,Kits,Kits,ativo,,Rotina de aromaterapia equilibrada
kit-sensualidade-autoestima,Kit Sensualidade & Autoestima,Kits,Kits,ativo,,Sensualidade e autoconfiança
duo-ar-puro,Duo Ar Puro,Kits,Duos,,ativo,Duo para purificação do ar
duo-energia-solar,Duo Energia Solar,Kits,Duos,ativo,,Duo energizante
duo-foco-inteligente,Duo Foco Inteligente,Kits,Duos,,ativo,Duo para foco e concentração
cha-infusao-detox-by-samia,Chá Infusão Detox,Chás,Infusões,,ativo,Chá detox by samia
cha-infusao-energizante-by-samia,Chá Infusão Energizante,Chás,Infusões,,ativo,Chá energizante by samia
cha-infusao-relaxante-by-samia,Chá Infusão Relaxante,Chás,Infusões,,ativo,Chá relaxante by samia
aromatizador-eletrico-plug,Aromatizador Elétrico Plug,Acessórios,Difusores,ativo,,Difusor elétrico plug para óleos essenciais
